question_id,db_id,context,technique,basic_sql,robust_sql,rel_error_mean,abs_error_mean,dq_robust_1pct,dq_robust_2pct,dq_robust_5pct,mape,mae,bias,literal_acc,dq_note_coverage
stage2_0,car_1,schema_only,baseline,SELECT MAX(MPG) FROM cars_data WHERE Cylinders = 8 OR Year < 1980,SELECT MAX(MPG) FROM cars_data WHERE Cylinders = 8 OR Year < 1980,0.0,0.0,0.9492753623188406,0.9637681159420289,0.9782608695652174,22.909222399930098,24.509834653147315,22.975556413182016,0.4384057971014493,1.0
stage2_1,car_1,schema_only,baseline,SELECT MIN(Weight) AS MinWeight FROM cars_data WHERE Year = 1974 AND Cylinders = 8,SELECT MIN(Weight) AS MinWeight FROM cars_data WHERE Year = 1974 AND Cylinders = 8,0.0,0.0,0.9492753623188406,0.9637681159420289,0.9782608695652174,22.909222399930098,24.509834653147315,22.975556413182016,0.4384057971014493,1.0
stage2_2,car_1,schema_only,baseline,SELECT AVG(Horsepower) AS AverageHorsepower FROM cars_data WHERE Year < 1980,SELECT AVG(Horsepower) AS AverageHorsepower FROM cars_data WHERE Year < 1980,0.00021322554267071608,0.023696375340222176,0.9492753623188406,0.9637681159420289,0.9782608695652174,22.909222399930098,24.509834653147315,22.975556413182016,0.4384057971014493,1.0
stage2_3,car_1,schema_only,baseline,SELECT AVG(T2.Edispl) AS AverageEdispl FROM car_makers AS T1 JOIN model_list AS T2 ON T1.Id = T2.Maker WHERE T1.Maker = 'VOLVO',SELECT AVG(T2.Edispl) AS AverageEdispl FROM car_makers AS T1 JOIN model_list AS T2 ON T1.Id = T2.Maker WHERE T1.Maker = 'VOLVO',0.0,0.0,0.9492753623188406,0.9637681159420289,0.9782608695652174,22.909222399930098,24.509834653147315,22.975556413182016,0.4384057971014493,1.0
stage2_4,student_transcripts_tracking,schema_only,baseline,"SELECT c.course_name, c.course_id FROM Courses AS c JOIN Sections AS s ON c.course_id = s.course_id GROUP BY c.course_id HAVING COUNT(s.section_id) <= 2","SELECT c.course_name, c.course_id FROM Courses AS c JOIN Sections AS s ON c.course_id = s.course_id GROUP BY c.course_id HAVING COUNT(s.section_id) <= 2",0.0,0.0,0.9492753623188406,0.9637681159420289,0.9782608695652174,22.909222399930098,24.509834653147315,22.975556413182016,0.4384057971014493,1.0
stage2_5,car_1,schema_only,baseline,"SELECT c.ContId, c.Continent, COUNT(co.CountryId) AS NumberOfCountries FROM continents AS c JOIN countries AS co ON c.ContId = co.Continent GROUP BY c.ContId, c.Continent","SELECT c.ContId, c.Continent, COUNT(co.CountryId) AS NumberOfCountries FROM continents AS c JOIN countries AS co ON c.ContId = co.Continent GROUP BY c.ContId, c.Continent",0.0,0.0,0.9492753623188406,0.9637681159420289,0.9782608695652174,22.909222399930098,24.509834653147315,22.975556413182016,0.4384057971014493,1.0
stage2_6,student_transcripts_tracking,schema_only,baseline,"SELECT dp.degree_summary_name, COUNT(se.student_id) AS student_count FROM Degree_Programs AS dp JOIN Student_Enrolment AS se ON dp.degree_program_id = se.degree_program_id GROUP BY dp.degree_program_id ORDER BY student_count DESC LIMIT 1","SELECT dp.degree_summary_name, COUNT(se.student_id) AS student_count FROM Degree_Programs AS dp JOIN Student_Enrolment AS se ON dp.degree_program_id = se.degree_program_id GROUP BY dp.degree_program_id ORDER BY student_count DESC LIMIT 1",0.0,0.0,0.9492753623188406,0.9637681159420289,0.9782608695652174,22.909222399930098,24.509834653147315,22.975556413182016,0.4384057971014493,1.0
stage2_7,car_1,schema_only,baseline,SELECT COUNT(*) FROM model_list WHERE Maker = (SELECT Id FROM car_makers WHERE Maker = 'American Motor Company'),SELECT COUNT(*) FROM model_list WHERE Maker = (SELECT Id FROM car_makers WHERE Maker = 'American Motor Company'),0.0,0.0,0.9492753623188406,0.9637681159420289,0.9782608695652174,22.909222399930098,24.509834653147315,22.975556413182016,0.4384057971014493,1.0
stage2_8,car_1,schema_only,baseline,SELECT COUNT(*) FROM (SELECT c.CountryName FROM car_makers AS cm JOIN countries AS c ON cm.Country = c.CountryName GROUP BY c.CountryName HAVING COUNT(cm.Id) > 2),SELECT COUNT(*) FROM (SELECT c.CountryName FROM car_makers AS cm JOIN countries AS c ON cm.Country = c.CountryName GROUP BY c.CountryName HAVING COUNT(cm.Id) > 2),0.0,0.0,0.9492753623188406,0.9637681159420289,0.9782608695652174,22.909222399930098,24.509834653147315,22.975556413182016,0.4384057971014493,1.0
stage2_9,car_1,schema_only,baseline,SELECT COUNT(DISTINCT ml.ModelId) FROM car_makers AS cm JOIN countries AS c ON cm.Country = c.CountryName JOIN model_list AS ml ON cm.Id = ml.Maker WHERE c.CountryName = 'USA',SELECT COUNT(DISTINCT ml.ModelId) FROM car_makers AS cm JOIN countries AS c ON cm.Country = c.CountryName JOIN model_list AS ml ON cm.Id = ml.Maker WHERE c.CountryName = 'USA',0.0,0.0,0.9492753623188406,0.9637681159420289,0.9782608695652174,22.909222399930098,24.509834653147315,22.975556413182016,0.4384057971014493,1.0
