question_id,db_id,context,technique,basic_sql,robust_sql,rel_error_mean,abs_error_mean,dq_robust_1pct,dq_robust_2pct,dq_robust_5pct,mape,mae,bias,literal_acc,dq_note_coverage
stage2_0,car_1,schema_only,sc,SELECT MAX(MPG) AS MaxMPG FROM cars_data WHERE Cylinders = 8 OR Year < 1980,"WITH cleaned_cars_data AS (SELECT DISTINCT Id, MPG, Cylinders, Edispl, Horsepower, Weight, Accelerate, Year FROM cars_data) SELECT MAX(MPG) AS MaxMPG FROM cleaned_cars_data WHERE Cylinders = 8 OR Year < 1980",0.0,0.0,0.8562874251497006,0.8682634730538922,0.874251497005988,19.023273272008012,33.668620411415645,5.408018957594233,0.32934131736526945,1.0
stage2_1,car_1,schema_only,sc,SELECT MIN(Weight) AS MinWeight FROM cars_data WHERE Cylinders = 8 AND Year = 1974,"WITH cleaned_cars_data AS (SELECT MIN(CAST(REPLACE(TRIM(MPG), ',', '') AS REAL)) AS MPG, Cylinders, MIN(CAST(REPLACE(TRIM(Horsepower), ',', '') AS REAL)) AS Horsepower, MIN(CAST(REPLACE(TRIM(Weight), ',', '') AS REAL)) AS Weight, Accelerate, MIN(YEAR) AS Year FROM cars_data GROUP BY Cylinders, Accelerate) SELECT MIN(Weight) AS MinWeight FROM cleaned_cars_data WHERE Cylinders = 8 AND Year = 1974",1.0,4141.0,0.8562874251497006,0.8682634730538922,0.874251497005988,19.023273272008012,33.668620411415645,5.408018957594233,0.32934131736526945,1.0
stage2_2,car_1,schema_only,sc,"SELECT AVG(CAST(REPLACE(Horsepower, ',', '') AS REAL)) AS AvgHorsepower FROM cars_data WHERE Year < 1980","WITH cleaned_cars_data AS (SELECT Id, REPLACE(Horsepower, ',', '') AS Horsepower, Year FROM cars_data) SELECT AVG(CAST(Horsepower AS REAL)) AS AvgHorsepower FROM cleaned_cars_data WHERE Year < 1980",0.0,0.0,0.8562874251497006,0.8682634730538922,0.874251497005988,19.023273272008012,33.668620411415645,5.408018957594233,0.32934131736526945,1.0
stage2_3,car_1,schema_only,sc,SELECT AVG(Edispl) AS Avg_Edispl FROM cars_data JOIN model_list ON cars_data.Maker = model_list.Maker AND cars_data.Model = model_list.Model JOIN car_makers ON model_list.Maker = car_makers.Id WHERE car_makers.Maker = 'Volvo',"WITH cleaned_cars_data AS (SELECT DISTINCT Id, MPG, Cylinders, Edispl, Horsepower, Weight, Accelerate, Year FROM cars_data), cleaned_model_list AS (SELECT DISTINCT ModelId, Maker, Model FROM model_list), cleaned_car_makers AS (SELECT DISTINCT Id, Maker, FullName, Country FROM car_makers) SELECT AVG(cleaned_cars_data.Edispl) AS Avg_Edispl FROM cleaned_cars_data JOIN cleaned_model_list ON cleaned_cars_data.Maker = cleaned_model_list.Maker AND cleaned_cars_data.Model = cleaned_model_list.Model JOIN cleaned_car_makers ON cleaned_model_list.Maker = cleaned_car_makers.Id WHERE cleaned_car_makers.Maker = 'Volvo'",0.0,0.0,0.8562874251497006,0.8682634730538922,0.874251497005988,19.023273272008012,33.668620411415645,5.408018957594233,0.32934131736526945,1.0
stage2_4,student_transcripts_tracking,schema_only,sc,"SELECT c.course_id, c.course_name FROM Sections AS s JOIN Courses AS c ON s.course_id = c.course_id GROUP BY c.course_id, c.course_name HAVING COUNT(s.section_id) <= 2","WITH Cleaned_Sections AS (SELECT DISTINCT section_id, course_id, section_name FROM Sections) SELECT c.course_id, c.course_name FROM Cleaned_Sections AS s JOIN Courses AS c ON s.course_id = c.course_id GROUP BY c.course_id, c.course_name HAVING COUNT(s.section_id) <= 2",0.0,0.0,0.8562874251497006,0.8682634730538922,0.874251497005988,19.023273272008012,33.668620411415645,5.408018957594233,0.32934131736526945,1.0
stage2_5,car_1,schema_only,sc,"SELECT c.Continent, COUNT(DISTINCT c.CountryName) AS NumberOfCountries FROM countries AS c JOIN continents AS ct ON c.Continent = ct.ContId GROUP BY c.Continent","WITH DISTINCT_Countries AS (SELECT DISTINCT CountryId, CountryName, Continent FROM countries) SELECT ct.ContId, ct.Continent, COUNT(DISTINCT dc.CountryName) AS NumberOfCountries FROM DISTINCT_Countries AS dc JOIN continents AS ct ON dc.Continent = ct.ContId GROUP BY ct.ContId, ct.Continent",2.0,3.0,0.8562874251497006,0.8682634730538922,0.874251497005988,19.023273272008012,33.668620411415645,5.408018957594233,0.32934131736526945,1.0
stage2_6,student_transcripts_tracking,schema_only,sc,"SELECT dp.degree_summary_name, COUNT(se.student_id) AS student_count FROM Degrees_Programs AS dp JOIN Student_Enrolment AS se ON dp.degree_program_id = se.degree_program_id GROUP BY dp.degree_summary_name ORDER BY student_count DESC LIMIT 1","WITH Cleaned_Degree_Programs AS (SELECT DISTINCT department_id, degree_summary_name, degree_summary_description, other_details FROM Degrees_Programs), Cleaned_Student_Enrolment AS (SELECT DISTINCT student_id, degree_program_id, semester_id, other_details FROM Student_Enrolment) SELECT dp.degree_summary_name, COUNT(se.student_id) AS student_count FROM Cleaned_Degree_Programs AS dp JOIN Cleaned_Student_Enrolment AS se ON dp.department_id = se.degree_program_id GROUP BY dp.degree_summary_name ORDER BY student_count DESC LIMIT 1",0.0,0.0,0.8562874251497006,0.8682634730538922,0.874251497005988,19.023273272008012,33.668620411415645,5.408018957594233,0.32934131736526945,1.0
stage2_7,car_1,schema_only,sc,SELECT COUNT(*) FROM car_makers AS cm JOIN model_list AS ml ON cm.Id = ml.Maker WHERE cm.Maker = 'American Motor Company',"WITH cleaned_car_makers AS (SELECT DISTINCT Id, Maker, FullName, Country FROM car_makers), cleaned_model_list AS (SELECT DISTINCT ModelId, Maker, Model FROM model_list) SELECT COUNT(*) FROM cleaned_car_makers AS cm JOIN cleaned_model_list AS ml ON cm.Id = ml.Maker WHERE cm.Maker = 'American Motor Company'",0.0,0.0,0.8562874251497006,0.8682634730538922,0.874251497005988,19.023273272008012,33.668620411415645,5.408018957594233,0.32934131736526945,1.0
stage2_8,car_1,schema_only,sc,SELECT COUNT(DISTINCT T1.CountryId) FROM countries AS T1 JOIN car_makers AS T2 ON T1.CountryId = T2.Country GROUP BY T1.CountryId HAVING COUNT(T2.Maker) > 2,"WITH cleaned_countries AS (SELECT DISTINCT CountryId FROM countries), cleaned_car_makers AS (SELECT DISTINCT Maker, Country FROM car_makers) SELECT COUNT(DISTINCT T1.CountryId) FROM cleaned_countries AS T1 JOIN cleaned_car_makers AS T2 ON T1.CountryId = T2.Country GROUP BY T1.CountryId HAVING COUNT(T2.Maker) > 2",0.0,0.0,0.8562874251497006,0.8682634730538922,0.874251497005988,19.023273272008012,33.668620411415645,5.408018957594233,0.32934131736526945,1.0
stage2_9,car_1,schema_only,sc,SELECT COUNT(*) FROM model_list AS ml JOIN car_makers AS cm ON ml.Maker = cm.Id JOIN countries AS c ON cm.Country = c.CountryId WHERE c.Continent = 'USA',"WITH cleaned_car_makers AS (SELECT DISTINCT Id, Maker, FullName, Country FROM car_makers), cleaned_model_list AS (SELECT DISTINCT Maker, Model FROM model_list), cleaned_countries AS (SELECT DISTINCT CountryId, CountryName, Continent FROM countries) SELECT COUNT(*) FROM cleaned_model_list AS ml JOIN cleaned_car_makers AS cm ON ml.Maker = cm.Id JOIN cleaned_countries AS c ON cm.Country = c.CountryId WHERE c.Continent = 'USA'",0.0,0.0,0.8562874251497006,0.8682634730538922,0.874251497005988,19.023273272008012,33.668620411415645,5.408018957594233,0.32934131736526945,1.0
